,symbol,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Cloud_Position,TK_Cross,CPrice,change
0,A1CAP.IS,78.55256092414817,72.49514673046549,87.09493382669784,71.62782867595563,0.06951669890224035,0.12306159464332733,0.05354489574108698,37.31550124477953,0.9494541499966304,82.02959830866808,56.596165665524246,56846629.0,73.90855894408796,-629237569.2954323,42.24441523691104,132.93398880715037,22.522523038538182,-0.23990115768233572,0.5547546760791854,7.914928901509871,8.06000010172526,6.808620162774881,1,7.017495464800089,4.769999980926514,4.875,5.005000114440918,5.005000114440918,,Above_Cloud,Bearish,8.16,6.25
1,ACSEL.IS,50.72059712118315,57.766487804055856,57.902113569398615,77.31892600980969,0.29436855990917005,0.2235308143762076,-0.07083774553296246,11.820370723819213,0.21619592159349063,9.54954954954957,30.544071842469272,2199671.0,40.0597628695754,-6990675.386857695,11.967156927724249,-118.75834330236161,-3.2755312388416433,-0.31257964279146383,4.121985921098074,102.49046607336697,99.38333384195964,110.6312037546934,-1,104.2589014702737,120.04999542236328,115.42499542236328,107.89999961853027,109.75,,Below_Cloud,Bullish,100.4,-1.2782694198623323
2,ADESE.IS,93.5632536233515,95.6761354810988,66.58336618725417,74.94333831993514,0.020964482841393267,0.22654734165190826,0.205582858810515,126.56250851563972,0.8672111517457927,90.32846715328465,76.57899697175944,2456171117.0,77.45348874871304,-635839944.2618396,57.75025500532305,125.04878977754541,68.68686272701241,0.5399101075493187,0.4531533785457595,6.567890391146677,6.759999910990397,5.42157220658192,1,6.205507647893662,2.35999995470047,2.3249999284744263,1.9500000476837158,2.024999976158142,,Above_Cloud,Bullish,6.68,-3.6075036075036038
3,ADGYO.IS,87.267752097884,83.78358800400211,98.44873183127602,98.57991524354445,0.22529671787268268,0.459882656523659,0.23458593865097632,16.67531774190875,1.1064269224982528,49.826989619377166,63.201486388789654,72218506.0,66.2696722862106,-46097563.05449312,22.23932807098968,167.22303517679993,14.036365855823863,-0.11395201728040016,1.1536577118039086,30.455436209394286,30.446666717529297,27.36213652189405,1,29.072984150138574,30.550000190734863,30.16999912261963,28.949999809265137,29.559999465942383,,Above_Cloud,Bullish,31.36,10.1123595505618
4,AEFES.IS,32.525356489110116,35.909557993356465,62.491859831280266,74.64992935786756,0.3300050086073117,-0.08386596426183957,-0.41387097286915125,22.250492423826504,0.1995671247968414,2.521254763998834,33.00253940377582,-62220137.0,36.152924567300836,-214462118.2565157,21.562710336838567,-115.0491185696753,-8.293936736434139,-0.2361946412538965,5.084812996916649,141.78982133846011,137.06666564941406,150.98941285268825,-1,147.9407438196397,164.16515884928936,163.81808158819766,169.47040273965354,169.47040273965354,,Below_Cloud,Bullish,138.5,1.0211524434719177
5,AFYON.IS,45.948225014651314,51.92763083286658,69.6688859798041,82.79427068469647,0.0034433308696667844,-0.01903915281047755,-0.022482483680144334,13.6485121388187,0.04163657943110314,10.869565217391312,34.30593985207658,388660354.0,34.61897624795403,-363372038.8823961,26.07488059995781,-156.51221600163694,-6.91489253771579,-0.16295842516829126,0.343518613804013,12.679077146503069,12.223333358764648,13.251001910968359,-1,13.172199822123483,13.815000057220459,13.720593668303469,13.73904319611152,13.73904319611152,,Below_Cloud,Bullish,12.25,-0.8899676375404453
6,AGESA.IS,84.23185548338891,76.09174204492818,87.14819226214274,79.23080043062278,0.6739418812594624,0.4707856612051784,-0.20315622005428408,11.78454656018046,0.7194038962168186,77.06355003652303,58.09836320667259,12005595.0,57.66487780748347,11603593.460114852,17.099142443707475,47.00851028397141,5.225485476898335,0.07955813242831594,5.347289605858923,146.04655009302599,145.79999796549478,132.23761314255586,1,139.50645355530875,136.5500030517578,132.45000076293945,138.830385283782,139.76535039723348,,Above_Cloud,Bullish,147.0,0.6849315068493178
7,AGHOL.IS,27.05391789363974,32.046907533693876,52.173390263928894,63.571721825655864,0.03529549520762898,-0.7559450392891884,-0.7912405344968174,19.39674460783402,0.1391492427499508,3.4352744030163342,31.77074405782015,-7614674.0,35.798081632109515,-14347135.045616845,21.213730373819253,-137.22598007528805,-7.066196751948365,-0.12405555718077961,8.69563125126677,253.63126707560633,244.26666768391928,268.70181379166496,-1,261.6435643191687,273.87168882437084,285.1502014599979,301.82279015483186,301.82279015483186,,Below_Cloud,Bearish,247.0,0.04050222762250755
8,AHGAZ.IS,93.18987788552592,92.93964873714994,95.39041533396183,96.88674914112102,0.06931561781175696,0.25078598780284134,0.18147036999108437,23.53828820234104,0.8982612629584737,97.25171767645222,60.711642385109286,291660465.0,72.33534406762041,170377361.73914722,42.96055824404559,109.56129215455982,13.603233195216585,0.19948149379522617,1.13956554448593,27.781886137523223,27.5,24.72510394102062,1,25.43141601434694,22.059999465942383,21.8100004196167,20.1850004196167,19.02500057220459,,Above_Cloud,Bullish,28.06,2.2594752186588796
9,AKBNK.IS,88.72304549257741,91.83566564211647,91.33206809125069,95.52193614604391,0.15155018824979005,0.8862707856119485,0.7347205973621584,23.514958572633397,0.9242590048655558,44.4813829787234,53.92826436534009,1914280268.0,68.08575183887031,-1281681876.5737913,21.137176449730354,112.7498587505315,14.533203322773831,0.04389511660627123,1.9757389484656787,58.89847880396349,58.36666615804037,54.36072194490676,1,54.755172518003505,50.790000915527344,52.135998538943696,62.01652111128444,62.01652111128444,,Below_Cloud,Bearish,59.5,4.385964912280693
10,AKCNS.IS,36.17478298918277,49.11355446463182,53.576061705134954,73.77248214697167,-0.471155640968734,-0.08838508077631735,0.3827705601924167,15.679070337310595,0.07509075595263029,4.813477737665462,50.58563840843467,11392265.0,38.11383583583874,7325815.490797974,15.241499791186815,-151.34764070453116,-1.5613889592205867,-0.06615596081242212,5.814446898177111,143.894117653249,137.86666361490884,154.64536993501187,-1,154.96134656477565,158.3000030517578,158.3000030517578,174.25109396070843,184.18900435155862,,Below_Cloud,No_Data,138.7,0.14440433212996595
11,AKENR.IS,58.88026684756608,64.5669435401108,76.2099131229423,86.40570280677328,0.04939838639699783,0.008931935918934542,-0.04046645047806329,23.75720446956288,0.4149186167257956,28.689492325855966,48.175726984423676,115485004.0,49.88145260686423,-876296214.6659553,28.3124479144139,-40.5858432908414,-1.8292603906476113,-0.275759738584276,0.726400795229922,11.581592474699505,11.183333396911621,12.183963973280425,-1,10.834879816553094,9.769999980926514,9.769999980926514,10.817500114440918,12.070000171661377,,No_Data,No_Data,11.27,-1.140350877192986
12,AKFGY.IS,66.66665497948256,72.8851512956111,66.88627985873815,71.36720356809737,0.004877289928165746,-0.006869643862160305,-0.01174693379032605,17.780405121330865,0.22326998717000132,34.04255319148936,48.43313200249622,579951271.0,45.25955877960556,-1570869145.8074,20.72463780571271,-94.30604059073508,-8.256883543354942,0.131466474002429,0.086093776555936,2.0707099249106635,1.996666669845581,1.93253678513201,1,2.067983925658458,1.9649999737739563,1.9299999475479126,1.884999930858612,1.949999988079071,,Above_Cloud,Bullish,2.0,-1.477832512315258
13,AKFYE.IS,69.07123947376182,77.51316983051252,82.49535056796311,91.75905227038731,0.07163497136645791,0.0962397198718925,0.024604748505434593,10.974691916920047,0.46508854038395187,12.272420768712072,40.626668518466744,-27404804.0,44.102903912544015,-197190377.51289618,19.240223990627523,-56.00972365720609,-0.12492478124760613,-0.37708958651153457,0.4726098260637836,16.1464501810364,15.743333498636881,16.59560369947564,-1,15.811964511813978,18.039999961853027,16.990000247955322,16.262500286102295,17.395000457763672,,Below_Cloud,Bullish,15.99,1.2025316455696267
14,AKGRT.IS,18.758105890810874,20.914332955072098,38.72793669646665,44.59149839031796,0.004311074187589477,-0.019471353896626492,-0.02378242808421597,19.199393464081258,0.13982638071890158,13.333333333333345,30.35058187582589,-48794246.0,33.40590047155227,-584819505.9070135,27.411377594999127,-126.14893108462306,-8.766233364111006,-0.27042470474762687,0.1748084046186579,5.736926936232778,5.553333282470703,6.025503681355461,-1,5.867427210240977,6.414999961853027,6.5,6.829999923706055,7.21999979019165,,Below_Cloud,Bearish,5.62,3.119266055045866
15,AKMGY.IS,63.98468508128377,57.234746558331246,86.9773769890536,88.90742237902877,0.6301505287855209,0.8823074142872391,0.2521568855017183,8.374803259581185,0.363038530009408,14.352283317800563,50.08471425685473,-286352.0,43.95699833379554,497578.7033929648,20.55613144783322,-51.90351217323152,-1.0954569004471852,0.030927051023180465,7.689382976236424,190.99939495651523,189.0666707356771,203.32607862033598,-1,192.94957388571459,203.5999984741211,217.78752699608293,215.40615078120277,215.2637868182063,,Below_Cloud,Bearish,189.6,0.05277044854881119
16,AKSEN.IS,67.23240462471962,62.63338187185409,67.67116623814634,65.67365515010529,0.026416565302144715,0.05914548497135322,0.0327289196692085,8.440669485404076,0.6840099155577265,26.020408163265294,34.104033703086536,31814052.0,54.71696084752013,-91789688.51742141,17.87526763331254,-70.65553102174907,1.4319795217220945,0.08700343023497505,1.230425710972297,33.54600442108712,32.826666514078774,31.239103479457793,1,33.42728099317083,32.029998779296875,33.119998931884766,34.03999996185303,36.390000343322754,,Below_Cloud,Bearish,34.0,7.120352867044755
