,symbol,time,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,RSI,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,Tenkan,Kijun,Senkou_A,Senkou_B,Cloud_Position,TK_Cross,CPrice,change
0,A1CAP.IS,2025-07-09 00:15:42.369979,17.366846414446528,29.47186490182744,-0.06575857064719859,-0.08040324283752243,-0.014644672190323836,19.6164973136302,0.4097209012436972,77.54318618042227,61.419688936953385,53.6502049791061,41.120576800843466,-8.27857354713455,1.7114839171809668,-0.15799992067189325,0.5647420906710376,8.634847640507603,8.453333218892416,7.324618754156578,1,7.987229612261088,7.31000018119812,6.460000038146973,4.995000123977661,5.005000114440918,Above_Cloud,Bullish,8.32,-3.8150289017341077
1,ACSEL.IS,2025-07-09 00:15:42.369979,71.98084384996582,84.34339288626954,0.009711088983784366,0.4745472373149835,0.46483614833119913,9.244493984777401,0.46023356745312205,11.458333333333325,57.14384105895685,45.10036952092098,12.86548964139254,-18.408880615023524,2.945734856972707,0.016372706148420957,3.3802715076006526,100.40618602450914,99.46666463216145,106.87622245464595,-1,102.18475751601875,104.5250015258789,115.2249984741211,109.79999923706055,108.39999771118164,Below_Cloud,Bearish,99.6,0.10050251256281673
2,ADESE.IS,2025-07-09 00:15:42.369979,41.605636701054145,33.58488623989475,-0.01863715915777928,-0.001994802914175864,0.016642356243603416,52.89235393286182,0.8535674081467306,90.88114754098359,64.5281814281382,72.88466112753757,60.511598294420715,142.03704022428533,23.112669037671687,0.06856655653889206,0.739965265230583,10.360111659245366,10.84333324432373,8.54089190079666,1,9.418936899910193,3.875,3.5550000071525574,1.920000046491623,1.9500000476837158,Above_Cloud,Bullish,10.6,-3.6363636363636376
3,ADGYO.IS,2025-07-09 00:15:42.369979,16.031518282697615,21.059967824919635,-0.22175435221148992,-0.0816702111274854,0.14008414108400452,18.57788036115511,0.6088287398461345,66.9477234401349,63.51962480563671,58.891588166086706,29.735370273614098,36.87544867841706,-1.7929517459575022,-0.04789978633497165,1.3172761045542545,34.1938130841052,34.119998931884766,30.47471942650204,1,33.61719245949296,27.960000038146973,29.550000190734863,30.28999948501587,29.309999465942383,Above_Cloud,Bearish,33.96,-0.8177570093457986
4,AEFES.IS,2025-07-09 00:15:42.369979,76.73822150292402,88.88730644774694,0.014178724650923624,0.1892296203992478,0.17505089574832416,23.71500542199691,0.7179384552167826,11.262699564586354,70.84793769814236,56.25483333584341,20.5708347049976,79.44498615910719,12.852894036651843,-0.06472240186575351,0.5626859112999713,15.44663276150067,15.309999783833822,14.256770654073286,1,15.091953269317273,14.501227302310369,14.71198810375481,15.286997130521835,15.660408851528121,Below_Cloud,Bearish,15.19,-2.7528809218950068
5,AFYON.IS,2025-07-09 00:15:42.369979,95.871977251377,97.79939328572952,0.05980658774010797,0.19098837912960873,0.13118179138950076,19.36754879746568,0.8758549438855762,32.48299319727892,72.55614389747147,61.33568539497422,27.521736571735232,130.99293371611358,12.946053454354734,0.0690586071459419,0.40502611452915954,13.506085079533575,13.763333320617676,12.585556860170657,1,13.041468557953177,13.375,13.545000076293945,13.769521455004613,13.73904319611152,Below_Cloud,Bearish,13.61,-0.2930402930403031
6,AGESA.IS,2025-07-09 00:15:42.369979,18.263153289140153,32.612843281544365,-0.4864783948410444,-0.278250013156212,0.2082283816848324,10.197900260827259,0.413118180670322,81.30021913805699,53.070476670809605,50.76309160795993,26.671800201376932,-4.040448742111972,2.6712286962221747,0.23713382224281565,5.413758738732659,152.39218801997495,150.86666361490884,138.87682764104585,1,147.48879116771974,143.29999542236328,139.9000015258789,133.11540823184953,137.25074440178366,Above_Cloud,Bullish,149.9,-2.026143790849666
7,AGHOL.IS,2025-07-09 00:15:42.369979,79.55436263684419,89.58502984276383,0.5680278093358657,3.2213622370316743,2.6533344276958086,17.61166516597162,0.781788486997821,12.442396313364052,64.78837562151834,55.65361862603715,22.24196635680836,71.89032295162775,7.18562874251497,0.07299807265207231,9.382138601986107,269.12571002890564,266.5,249.11004780271477,1,262.09301919131025,275.0052925136447,278.7753980363435,290.11519928974565,301.82279015483186,Below_Cloud,Bearish,268.5,0.37383177570093906
8,AHGAZ.IS,2025-07-09 00:15:42.369979,7.306273437649904,14.80071562865669,-0.0707118632442531,-0.28048879786190173,-0.20977693461764862,8.895977507025863,0.14361398407302342,83.97694524495675,44.81021294908016,50.277149890614716,27.34846694246859,-127.1609629817063,-7.201647436414844,-0.1916360439198741,1.0043003919506672,27.360019939182735,27.126666386922196,25.842045760444137,1,27.814097140800964,25.360000610351562,24.039999961853027,21.84999990463257,20.05500030517578,Above_Cloud,Bullish,27.06,-0.3681885125184192
9,AKBNK.IS,2025-07-09 00:15:42.369979,72.98763184708217,84.80178061252002,-0.14858730875576454,0.5114396784013922,0.6600269871571567,28.81863142123901,0.7820983183551998,71.74202127659575,63.978945130903256,70.29278383007431,30.16289412679281,82.61505119718863,18.356636442749497,0.04668751944255651,2.3184588905657275,68.02895328529466,67.61666615804036,62.66669845619834,1,65.50785064961727,52.39999961853027,51.19000053405762,55.98430121209635,61.31860280566242,Above_Cloud,Bullish,67.7,-1.167883211678833
10,AKCNS.IS,2025-07-09 00:15:42.369979,78.52267932728682,89.26125287313964,0.4723954159324313,1.3317128124433846,0.8593173965109533,18.326727123248226,0.4923199979926337,12.815126050420183,57.05751234970208,44.78468557399686,22.433433621682784,11.359197958744435,3.692310039813702,-0.1625158120547343,5.500058545142774,136.86450394945746,136.23333231608072,125.15356228564596,1,138.19082517410615,148.3499984741211,158.0999984741211,169.36030889716562,183.36889012013148,Below_Cloud,Bearish,134.8,-1.6058394160583855
11,AKENR.IS,2025-07-09 00:15:42.369979,66.67993018352826,77.4774145674246,0.04033724936251844,0.08340069628907047,0.043063446926552035,17.545982353747977,0.7198170165833713,43.26777609682299,84.51016657921339,55.344166550834174,24.037040646145382,83.07270032210175,11.854682281032138,-0.19403251438870703,0.6392077500931614,11.687860113612054,11.789999961853027,10.43844467346534,1,11.085593343078308,11.71500015258789,11.414999961853027,10.03000020980835,11.510000228881836,Above_Cloud,Bullish,11.7,0.8620689655172376
12,AKFGY.IS,2025-07-09 00:15:42.369979,93.54984886340095,93.99167870437334,0.008866455712006845,0.0589241950888722,0.050057739376865355,50.158828232844975,0.9285451800033122,96.72131147540983,84.00218788724516,78.33045829555536,34.38935531839284,125.86838974931416,38.83495022028257,0.05784848079481405,0.12899536467942319,2.7756693278558355,2.8333333333333335,2.402103150158184,1,2.67304222540821,2.159999966621399,2.0450000166893005,1.8899999856948853,1.884999930858612,Above_Cloud,Bullish,2.86,0.7042253521126751
13,AKFYE.IS,2025-07-09 00:15:42.369979,58.479744398595244,77.25034811497734,-0.008987525058671841,0.07101229690185866,0.0799998219605305,9.083201951530482,0.4230939297032883,14.44539982803095,58.12721842443933,46.36507056496401,17.53757849791018,-4.341198329261351,1.0197629405068285,-0.1797886673716391,0.4198355756108318,16.08902652558642,15.960000356038412,15.442911450088884,1,15.833302176876295,16.08500051498413,17.115000247955322,17.117499828338623,16.359999656677246,Below_Cloud,Bearish,15.85,-1.4303482587064598
