,symbol,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,CPrice,YLow,YHigh,RSI,ADX,CCI,ROC,ATR,change
0,BTC-USD,-527.4172828251212,-960.3866601332106,-432.9693773080894,9.526479232409345,0.3324701064281246,104589.89,49121.24,111970.17,51.737474665858905,25.348899495698053,-58.26121270317806,-0.9623386297159013,2826.593056220902,0.55986685432734
1,ETH-USD,-14.502926801871018,-28.47317980469606,-13.970253002825041,9.799980638202065,0.3932417726069068,2539.8618,1386.7993,4106.9556,57.594745146777285,33.21352557979463,-55.00178040613972,0.4228692460722159,136.2536899498302,0.3462687765393824
2,USDT-USD,3.0467501137486958e-06,-7.721772713646394e-06,-1.076852282739509e-05,0.07956376380510378,0.6767858979130541,1.000335,0.996926,1.002985,53.666667332622595,16.155744649869572,152.25110358492637,0.002895899561146085,0.0013539081841876896,0.01739719905093917
3,BNB-USD,-2.491809649454801,-2.6104250320215474,-0.11861538256674664,8.36390317376979,0.40234254357981436,657.54364,407.5246,793.3505,51.6068617595862,31.856819748314066,-48.81973604647001,1.1834577949674985,18.332578901556243,0.29616139059978064
4,USDC-USD,6.050377954095744e-06,-6.925345684165631e-06,-1.2975723638261375e-05,0.05719427771307921,0.45807896957630023,0.99983245,0.998165,1.002697,49.267014416138565,14.433142310511881,29.652248816587953,-0.012952581867410624,0.0011957374840324793,0.01284280069844268
5,XRP-USD,-0.009396368876081949,-0.030421445041353114,-0.021025076165271165,18.547759871048598,0.13083324816513245,2.2011251,0.391139,3.388071,43.00111373180518,16.134244008852857,-173.6079530730586,-7.569301338465776,0.10463257605506046,2.9034611418923495
6,DOGE-USD,-0.0030038685495318487,-0.0058673488669931575,-0.002863480317461309,22.560606988385533,-0.10524585394314996,0.19313195,0.080831,0.48351,40.131937801891304,25.54650895834685,-287.9050131673466,-13.942118521141003,0.014712129225689157,-0.1997070873149931
7,ADA-USD,-0.004790102419207009,-0.01189788007004783,-0.007107777650840821,18.810874966027345,0.0033718442467210504,0.68706566,0.279886,1.318681,39.663764926357615,19.66794042283141,-219.28544699771817,-7.5360116305036975,0.04166165013691879,-0.3440615196948493
8,SOL-USD,-1.5670139283507272,-3.085324102945843,-1.5183101745951157,15.797025221671676,-0.04749972289544228,156.61232,96.588066,294.33496,41.90853258384533,27.324096997003544,-237.44681474963238,-6.143861698117728,8.600031132163384,0.23259043743668606
9,DOT-USD,-0.03194108445423207,-0.09378750796817645,-0.06184642351394438,24.28185297513048,0.019581022333920547,4.1013894,3.257528,11.600307,39.75034404487339,16.357488710874893,-194.93919186873305,-10.772106558468854,0.2685683904916854,1.2767261461752888
10,MATIC-USD,0.0014771397114172846,0.0037170404101595778,0.002239900698742293,26.56790881000736,0.4288153772859107,0.21823609,0.196799,1.083047,39.745240610341455,44.64357681636185,-36.8709159201426,-0.08402830048944043,0.014181213879372876,2.573877757327492
11,LTC-USD,-0.5819332266785344,-1.6639877879555027,-1.0820545612769683,18.434205490601755,0.0017680216594141525,87.83404,50.429405,146.60947,41.50941863035471,14.117149394026056,-236.90278832856885,-10.686828657804744,5.073106071825887,2.521729451635868
12,SHIB-USD,-7.05320987281406e-08,-2.620135306261823e-07,-1.914814318980417e-07,24.334068625308703,0.005191337467935413,1.2788788e-05,1e-05,3.3e-05,33.83185468333869,20.384048027957732,-238.10350118436727,-14.741411853529634,1.0173084019190003e-06,0.22522640782962622
13,BCH-USD,-1.0171562346220746,-2.6648421268688907,-1.647685892246816,12.709187024150244,0.6746738639524894,419.17093,250.79257,639.68524,56.212769959685225,24.03354114333378,10.576438023320877,6.687909393914279,20.681171492499626,5.017569866205052
14,LINK-USD,-0.11083528227614128,-0.28270124881268116,-0.17186596653653988,21.149847670162202,-0.004398981134030758,14.072352,8.137649,30.805128,39.85479997453008,16.86467894786503,-229.74824705047536,-10.931183937502324,0.9523231472099161,1.234837005702083
15,XLM-USD,-0.0012907901378164236,-0.003838328343936003,-0.0025475382061195795,16.712971610759386,0.03877532324722651,0.26749352,0.075918,0.634248,40.58411557347568,15.298175490190975,-191.52045949992265,-6.700460178021432,0.013149049582636272,0.8966135447272316
16,AVAX-USD,-0.18221812046223176,-0.3897386456685385,-0.20752052520630673,21.975419708485727,0.04961785679558107,20.896091,14.703358,55.697445,42.44536969597424,21.19220145180181,-202.50889432631016,-6.18110600341173,1.550739415858867,1.6398152786118114
17,ATOM-USD,-0.03739098045987052,-0.08287396376485892,-0.0454829833049884,20.700532105363287,-0.00587508289257192,4.329159,3.41722,10.638888,40.20137443156333,16.895364630973372,-213.28959356459006,-9.506601931489822,0.26621955624107857,0.8012039259194914
18,HBAR-USD,-0.0011925085503289665,-0.0036654010365097314,-0.002472892486180765,25.665404503573207,0.017955004583670085,0.16878806,0.041675,0.400257,36.09759907205333,16.61503888641501,-197.00848476419375,-12.958153705518631,0.010969875577965324,0.9952203383339908
19,FIL-USD,-0.018753370257775934,-0.04646065312329334,-0.027707282865517404,22.830149203375388,0.030779259314475362,2.569071,2.137159,8.379741,39.461997993816674,11.451413778222891,-206.8602058463251,-10.259289907200035,0.1742390079445154,2.281230415964952
20,TRX-USD,-0.0008191969023475124,-0.0013322114898370848,-0.0005130145874895724,4.682135919482694,0.10074657865106515,0.26613274,0.111007,0.440675,49.874034420987485,36.4216466036753,-134.87743218615375,-0.20820100297656696,0.007375248712464907,-0.39553192123226166
21,APE-USD,-0.005642570395205796,-0.010736504657356302,-0.005093934262150507,19.652637384726397,0.08403748937163098,0.6061952,0.00317,44.510334,47.159874095906126,45.39878529434449,-139.31817403245225,-6.461603776092455,0.0485893000872515,-5.152969506923267
22,ICP-USD,-0.03403671250357681,-0.06335769908565408,-0.029320986582077276,19.685595885838424,0.05794902473659821,4.864957,4.217187,15.560539,41.74280612297679,15.140802812689234,-194.6542635391123,-6.770410706949312,0.31538623486952483,1.5012088452252659
23,QNT-USD,0.28957772914870394,0.7084972329601653,0.41891950381146137,29.39468498343932,0.850956098498463,110.79479,50.465443,171.148,62.45027189034334,37.61568524520243,92.53223057716372,18.36306789979061,6.610110669508641,4.7543503700470335
24,NEAR-USD,-0.02635351220112702,-0.060283800633488295,-0.033930288432361275,26.841873951648175,-0.009092645011242606,2.446166,1.824079,8.237303,39.96833758021917,19.101235642400805,-224.22686985073972,-11.737917472082502,0.21173782135224084,0.09820907566435721
25,LDO-USD,-0.0016562414052030648,-0.013887626533774053,-0.012231385128570988,35.476075162150764,0.21211878547751195,0.8357569,0.614342,2.588692,43.93480759239743,13.335309114005309,-130.23978791363078,-7.1915388910051075,0.08488159436138865,2.634199970222517
26,ALGO-USD,-0.001693037861714937,-0.004378179898167637,-0.0026851420364527,23.89550724857207,0.0020806020162473433,0.19651343,0.095054,0.602763,38.71015615668613,13.576600014537405,-220.08252668144007,-11.59512371212459,0.014208057509956606,2.1291192835962924
27,ARB-USD,2.1646574017604847e-05,-2.6520153033978234e-05,-4.816672705158308e-05,120.84941791052672,0.3766605151595855,0.0010556238,0.000528,0.002698,38.93761092591713,34.14254553113806,-44.05269643658041,-0.03563014367480615,3.743112729628253e-05,0.0
28,EGLD-USD,-0.1989966604283172,-0.4650663903531175,-0.26606972992480027,29.528728663838177,-0.0418145354131031,15.366805,11.884263,58.147606,37.777025894524265,20.36528739467096,-236.38319301711383,-16.12520164134362,1.2620094359326974,3.208150585470393
29,VET-USD,-0.00021189763554019443,-0.0006402432090837631,-0.00042834557354356866,27.76940254994573,0.00801856799131331,0.024297964,0.017871,0.079013,37.397755304716895,17.56774115950144,-199.64940653386088,-13.41636860449557,0.0017953935161663787,1.5935042945458333
30,MANA-USD,-0.0017691982609826396,-0.007568579008210032,-0.005799380747227393,33.15145241717527,0.04312369651321135,0.27428475,0.192589,0.851248,36.70281839175522,19.39039468299037,-175.19250708986598,-15.565201755214865,0.021208888672057273,1.2398791402510545
31,FTM-USD,0.00857620237497299,0.0007133132483807259,-0.007862889126592264,41.10235552143402,0.27464927715070714,0.69689536,0.264582,1.470831,38.80999539201562,29.05493516794871,-73.27012539538309,-12.688579408795306,0.08520568559947657,-0.2683199328878172
32,XTZ-USD,-0.0042011725533118004,-0.008788094572325456,-0.0045869220190136555,19.789591770357976,0.040667580854819224,0.57206565,0.486369,1.89332,42.2548241623302,15.535939791227456,-207.9910818133441,-7.156311000905543,0.03481524281533209,1.4265730174222613
33,AAVE-USD,-2.7847054392597177,-2.9585088861089552,-0.17380344684923754,25.688626510376334,0.569612643284063,252.03586,72.60899,399.0657,59.328957720206105,40.85553179708949,10.995889590059127,1.7691495724905368,17.09353868979683,0.21150366165267886
34,SAND-USD,-0.0020812990312115637,-0.006460486309627486,-0.004379187278415922,30.130216202250164,0.06085724014182167,0.2731747,0.209824,1.063166,38.57286712433609,13.742681511061749,-181.3040688742367,-12.209616827148887,0.02038048374227719,1.3194069298581912
35,STX-USD,-7.567662830601287e-05,-7.201542342647187e-05,3.6612048795410103e-06,208.48351781874976,0.4728331820553194,0.0028344663,0.001401,0.035949,49.20490024318572,65.21521226162362,-25.500592429508313,22.102539980713477,0.0015016199929993243,0.0
36,EOS-USD,-0.005623843641191666,-0.018835121871479548,-0.013211278230287882,30.796450451501663,-0.05080158915505159,0.6423804,0.401451,1.52718,34.73426901951145,28.64066667166809,-217.6285117908384,-17.270085657990126,0.054610421448644614,-2.070823187836479
37,CAKE-USD,-0.02086770091278153,-0.01556827521783008,0.005299425694951451,25.988028296185885,0.3123663192236709,2.2726436,1.20737,4.440479,47.450960092930956,26.925579126054366,-77.6653021999406,2.0269656268373137,0.17912493293202925,-0.5067117061506532
38,KAVA-USD,0.0002496535770253232,-0.0022344543168719335,-0.0024841078938972567,19.136596946108103,0.38352146235869544,0.41835645,0.248329,0.744077,47.06693538001568,12.843660834022172,-111.46154765355472,-3.16943446703334,0.024796661009453012,8.721988634458832
39,CHZ-USD,-0.0003412238131186566,-0.0007939610923949805,-0.0004527372792763239,24.33684236674357,0.017682870797720275,0.03907298,0.034548,0.153114,38.92953732013715,13.858626500260254,-218.40001877707326,-10.64540345638911,0.0025773107549039976,2.131857567794704
40,THETA-USD,-0.009203243839036881,-0.022373042279465183,-0.013169798440428301,33.507710273636505,0.07206648035281213,0.7629852,0.604564,3.313722,41.762905162517235,17.614826309081614,-192.29350571855596,-15.010727923966785,0.07126956835694043,4.371485430661792
41,ENJ-USD,-0.0010358077292173206,-0.0021167367159268336,-0.001080928986709513,29.985165316552383,-0.0455949960151997,0.07354211,0.059296,0.394009,38.52994823332897,18.262554641198058,-258.416564219432,-16.467390720236036,0.007373300992386582,3.1922013966608764
42,WAVES-USD,-0.011899393651361185,-0.027506084504867565,-0.01560669085350638,24.900682961519063,-0.07618749060141745,1.0870878,0.762305,2.667682,34.487007417834384,22.823276652755236,-206.7189429578458,-19.233817320038977,0.07482169413709648,-0.33253422434535995
43,RUNE-USD,-0.029175168475179453,-0.047115384908477734,-0.01794021643329828,25.481799209396105,0.11482030004484631,1.6981713,0.960559,7.569621,47.81558277064314,32.85045681298663,-177.50225174869465,-5.1229932377296485,0.15634231280262725,2.6816992506080384
44,1INCH-USD,-0.001869375090154049,-0.0034460002371400596,-0.0015766251469860105,16.95319974537722,-0.030838756207125055,0.20769148,0.149499,0.62551,42.52934592386999,17.518273550521,-239.9479519178119,-8.174658651074694,0.013706623303578287,-0.1954413923542453
