,symbol,priceToBook,CPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,bookValue,open,dayLow,dayHigh,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,RSI,ADX,CCI,ROC,ATR,OBV,CMF,AD,MFI,MACD,MACD_signal,MACD_Hist,MACDAS,MACDAS_Signal,BB_Middle,BB_Upper,BB_Lower,BB_%B,BB_BWidth,FWMA,VWAP,kama,EMA_200,Supertrend,st_way,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,SMA_14,SMA_20,SMA_50,SMA_100,SMA_200,time,YF%,MACDAS-dif,change,BB_Pot,BB_Opt,TrendWay,Cloud_Position,TK_Cross
0,AEFES.IS,0.92584413,14.67,27.4,16.0,23.225,24.75,15.845,14.56,14.46,14.84,none,13.25,24.18,37.906332402156835,27.59159238875235,-2.504655564554699,0.686809237042884,0.1426613476336216,150526985.0,-0.20591373903044766,-135291237.85187727,39.84374180039305,-0.14101898757091114,-0.1910832959910045,0.05006430842009335,0.05006430842009335,0.03990469474688221,14.666000032424927,14.925183185023208,14.406816879826646,0.48842481667371784,3.5344763674519997,14.68883348623589,14.670122810953309,14.588377983854421,16.183241108132567,14.931417558444606,-1,57.89462236599838,68.83376237520302,78.36919737486879,86.05955634615559,15.480000019073486,15.854999542236328,16.420000076293945,16.675000190734863,,14.634285722460065,14.666000032424927,15.11620002746582,16.13339991569519,16.762399973869325,2025-09-10 02:33:07.554146,12.991765782250686,0.010159613673211138,0.7554945054945028,1.739490013791456,-1.7940226324018704,upper,Below_Cloud,Bearish
1,AGHOL.IS,0.6406057,26.4,55.6,35.654,45.861,46.09499,41.211,26.8,26.28,27.1,none,23.88,38.675,32.73468940649661,26.974173403637117,-140.00016445576523,-1.1949275353545008,0.2765155492148191,18608360.0,-0.20556208919966912,-17129117.4723372,33.74350328706714,-0.21678575089614327,-0.20241890225960424,-0.014366848636539031,-0.014366848636539031,-0.014655964711764181,26.8790002822876,27.40943057941085,26.34856998516435,0.10503651461147145,3.9468007853907134,26.598762496731585,26.703248947927392,26.897853435874595,28.298530036645282,27.279915106217587,-1,22.1037721984175,22.76650229559343,26.978029810488707,53.08647328239632,27.369999885559082,27.25999927520752,28.634999752044678,28.890000343322754,,26.747143064226425,26.8790002822876,27.163200035095215,28.095400009155274,28.854400033950807,2025-09-10 02:33:07.554146,17.032781345049003,0.00028911607522514975,-1.4925373134328401,3.8236006795865585,-0.19481066225625066,lower,Below_Cloud,Bullish
2,AHGAZ.IS,2.1712003,34.8,,,,,16.028,35.36,34.52,35.52,none,13.62,36.48,41.4967886866731,42.364457450800145,-66.0826465081872,-0.6264163231683016,0.348371337678654,150816943.0,-0.08485171538726483,-161474191.25400504,39.6432488493874,-0.23407382814836097,-0.1956779715385366,-0.038395856609824364,-0.038395856609824364,-0.0806777799861973,35.25999984741211,36.19054877605097,34.329450918773254,0.3065666885137434,5.278212890900813,34.900831911191496,34.87854338652115,35.17862498400178,34.25951326562284,35.86570227485014,-1,32.74852431368876,26.84204525836949,74.9187125358641,68.2425276046044,36.04999923706055,35.30999946594238,34.540000915527344,33.94000053405762,,35.02142824445452,35.25999984741211,35.55919998168945,34.75359992980957,34.87059999465942,2025-09-10 02:33:07.554146,92.65091863517061,0.04228192337637293,-1.5837104072398245,3.9958298162384276,-1.352152532260753,lower,Above_Cloud,Bullish
3,AKBNK.IS,1.2613988,62.8,106.4,56.0,84.04786,84.9,49.786,62.0,61.2,63.35,buy,46.12,76.2,56.86207637519589,19.31953075360702,93.81216065005653,2.8665029023254407,0.7593870385102135,3077279004.0,-0.12865230942505992,-322809165.2233735,58.04562385747121,0.05152472571641198,-0.19397645506842937,0.24550118078484134,0.24550118078484134,0.2144347790078514,61.76999988555908,63.303427494524264,60.2365722765939,0.8358487043925568,4.964959079832139,62.61465476540958,62.33271039678901,62.19506292224674,65.89038714453118,63.08613311419251,-1,72.87977416992105,79.84236864607028,79.08495471460526,84.8249909694343,61.375,65.29999923706055,69.13750076293945,69.25,,61.875,61.76999988555908,62.26499977111816,65.8894998550415,66.8722500038147,2025-09-10 02:33:07.554146,55.45212765957446,0.031066401776989938,1.2903225806451646,0.8016361377775061,-4.08189127930908,no-trend,Below_Cloud,Bearish
4,AKCNS.IS,1.1769564,136.8,216.0,177.43,200.1575,203.6,116.232,134.1,133.7,137.7,none,122.6,217.8,50.74629632842162,17.19989804478837,45.43264741381129,0.518132432729751,1.6049431032490253,18760379.0,0.1498468596945091,-12304477.08719312,33.342145375911606,0.08219504414779522,-0.09425620224536899,0.1764512463931642,0.1764512463931642,0.08245178828025848,135.25499954223633,138.00561906698326,132.5043800174894,0.5990692286988734,4.067309207136528,136.03752886789567,136.03118373915885,135.92705395602917,136.3432017570849,138.09719384106168,-1,65.61546780236412,77.28719299664392,67.34314902350961,81.9762947192239,137.70000457763672,136.25,136.02499771118164,137.1999969482422,,135.32142966134208,135.25499954223633,135.43999969482422,135.74899978637694,135.86349990844727,2025-09-10 02:33:07.554146,14.915966386554638,0.09399945811290572,2.0134228187919545,0.8813004875608543,-3.140073086630557,no-trend,No_Data,Bullish
5,AKFGY.IS,0.44407067,2.64,,,,,5.945,2.62,2.6,2.73,none,1.68,3.17,41.96847122651428,21.80774576319854,9.60921055916237,1.1494333721897778,0.03959763261231772,556192052.0,-0.21168412247476392,1971093203.5735204,52.52442584003403,-0.023035300585347862,-0.034688094328353694,0.011652793743005832,0.011652793743005832,0.00901479114225305,2.640499985218048,2.723319179041116,2.55768079139498,0.4969820986488874,6.2729933184399504,2.6551420652358573,2.6585321764575216,2.623571992879428,2.873682541623247,2.7012910764798335,-1,52.08340473469241,62.5000558793245,70.72663084300791,81.76406586022064,2.7949999570846558,2.875,3.0449999570846558,3.065000057220459,,2.632857118334089,2.640499985218048,2.7269999885559084,2.8817999792099,2.932649997472763,2025-09-10 02:33:07.554146,64.4295302013423,0.0026380026007527813,0.7633587786259444,3.1560295091331847,-3.118151841099237,upper,Below_Cloud,Bearish
6,AKFYE.IS,0.5704088,17.26,34.62,34.62,34.62,34.62,30.259,17.09,17.01,17.4,none,14.17,22.06,43.010380240888395,26.849535606797513,13.575488443197939,0.9345785021542901,0.16770720182182908,486110477.0,-0.06323325197759652,-225639708.88350642,41.23893070754454,-0.14516389775930705,-0.195686310275212,0.050522412515904946,0.050522412515904946,0.01819822457321809,17.260999965667725,17.667196964798944,16.854802966536507,0.5233885540986536,4.706529169099675,17.27694759794471,17.232444197539518,17.12017440094587,18.263891758302893,17.50060903169995,-1,75.2190387983868,70.68215241730593,91.09693253398763,93.89806187339707,18.0,18.135000228881836,18.649999618530273,19.25999927520752,,17.170000076293945,17.260999965667725,17.693800048828123,18.335300064086915,18.671799993515016,2025-09-10 02:33:07.554146,39.16349809885934,0.032324187942686856,0.9947337624341746,2.3591944658107877,-2.347607378119898,upper,Below_Cloud,Bearish
7,AKSA.IS,1.6573704,10.4,13.02,11.5,12.34,12.5,6.275,10.45,10.2,10.71,buy,8.03,13.65,42.87607448733541,24.594336785298733,-90.77857623055047,-0.09597148568728892,0.15937862060352023,96039147.0,-0.16480834344225886,-794485.3002764976,43.251437566891084,-0.0036314797444134683,0.027913532847111896,-0.03154501259152537,-0.03154501259152537,-0.022445377267187774,10.588000011444091,10.863143610648672,10.31285641223951,0.17653224616788013,5.19727236318834,10.46099381611265,10.525469854181997,10.60094636171821,10.341186454989941,10.905940163885973,-1,42.39351691434643,43.482828379999326,1.426124874650492,14.243580993541341,10.40500020980835,10.285000324249268,10.545000076293945,10.78499984741211,,10.51857144492013,10.588000011444091,10.388600025177002,10.570400037765502,10.360249996185303,2025-09-10 02:33:07.554146,42.17081850533809,-0.009099635324337593,-0.4784688995215225,4.453303948544929,-0.8379191130816421,lower,Below_Cloud,Bullish
8,AKSEN.IS,0.89109415,35.56,61.0,45.0,54.48,55.0,39.906,35.7,35.42,36.5,none,29.92,43.74,36.137468727888724,23.108937142198165,-104.23248020658785,-1.0555585225423176,0.389945378835549,77472467.0,-0.05773672643892829,-110440973.8261912,26.385467299928777,-0.239066986609771,-0.26148895443564935,0.022421967825878353,0.022421967825878353,0.05057072245063368,36.01999988555908,36.53021572005015,35.50978405106801,0.10800809516887355,2.832958556980025,35.83657154833811,36.03403233656264,36.24888762852616,38.9645203653781,36.86778287813856,-1,25.81374475401546,41.69416434399849,46.13615433244042,63.08003116371312,37.30000114440918,37.709999084472656,39.32499980926514,40.239999771118164,,36.0014283316476,36.01999988555908,36.62679992675781,38.25939998626709,40.30099996566773,2025-09-10 02:33:07.554146,40.81041968162084,-0.02814875462475533,-0.39215686274509665,2.728390663808078,-0.14121470453316576,lower,Below_Cloud,Bearish
9,ALARK.IS,0.48809576,79.4,171.06,124.0,146.59,145.65,162.673,79.0,78.35,79.9,none,75.15,107.5,39.26643650818976,32.47613720420357,-55.77763938163646,0.31746031746031744,0.7716095825147553,10703801.0,-0.16945230362923483,-172557413.98108804,38.10187012639411,-0.5913805590009531,-0.7291511224347461,0.13777056343379301,0.13777056343379301,0.11612983511086446,79.31000061035157,80.44956209559088,78.17043912511225,0.3639824992477418,2.873689261050331,79.12413909324042,79.26226420115448,79.2691175217983,86.83537360528494,81.0112876022473,-1,52.680405580684145,60.00049357505177,75.4425356465646,81.97617295840143,81.5999984741211,83.6500015258789,88.625,90.97500228881836,,79.08214351109096,79.31000061035157,80.81300064086913,85.23050033569336,88.71750007629394,2025-09-10 02:33:07.554146,13.137557959814531,0.021640728322928557,0.5063291139240533,1.3218666191320727,-1.5485653336117844,upper,Below_Cloud,Bearish
