,symbol,priceToBook,CPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,bookValue,open,dayLow,dayHigh,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,RSI,ADX,CCI,ROC,ATR,OBV,CMF,AD,MFI,MACD,MACD_signal,MACD_Hist,MACDAS,MACDAS_Signal,BB_Middle,BB_Upper,BB_Lower,BB_%B,BB_BWidth,FWMA,VWAP,kama,EMA_200,Supertrend,st_way,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,time,YF%,MACDAS-dif,change,BB_Pot,BB_Opt,TrendWay,Cloud_Position,TK_Cross
0,NVDA,50.148342,172.41,250.0,100.0,173.91614,175.0,3.438,173.73,171.26,174.24,strong_buy,86.62,174.25,78.2874130165246,51.47235814070353,131.00772624726807,12.4657535746425,3.8829805152068593,3253676600.0,0.2623372218725797,4728381148.976257,66.59972380236287,7.982883891249514,7.320851263543348,0.6620326277061661,0.6620326277061661,0.5354579074924013,159.62850112915038,176.42121754067617,142.8357847176246,0.8805668546926193,21.03974702855768,170.93999083482225,172.63999938964844,165.56413775196827,133.78467081797564,161.2405697136254,1,93.95762493049081,92.79443613561365,96.20668568550839,94.837149239456,138.9503499915187,127.90111991430715,103.66780206209053,114.02557986741834,,2025-07-20 17:07:35.159777,97.9002624671916,0.1265747202137648,-0.7597996891728465,2.3265573578540533,-17.153422239066995,upper,Above_Cloud,Bullish
1,WBD,0.9318813,12.75,24.0,9.0,13.91773,13.5,13.682,12.955,12.57,12.99,buy,6.64,13.04,76.15345790705229,52.59984477385693,169.73534890976666,16.5447942325541,0.4329512110762062,1188807000.0,0.0949204484361968,112665953.97325324,75.45057685865133,0.6305190266597496,0.5229879649358319,0.10753106172391769,0.10753106172391769,0.0632297957146929,11.48349995613098,12.78459597353515,10.18240393872681,0.9867050651633792,22.66026947140835,12.534208912878444,12.769999821980795,11.71854391188047,9.712108524109638,11.513144915193685,1,91.54480039665907,90.92384032085755,95.86692185148941,97.09232277778271,10.105000019073486,9.580000400543213,8.87749993801117,9.709999799728394,,2025-07-20 17:07:35.159777,95.46875000000001,0.04430126600922479,-1.582400617522195,0.2713409689031332,-20.138008323711286,upper,Above_Cloud,Bullish
2,TSLA,14.218858,329.65,500.0,115.0,306.07172,303.0,23.184,322.0,321.42,330.9,hold,182.0,488.54,55.853570263973445,15.483344999447176,61.3630484653135,9.623891212051557,13.836391590307205,1028592600.0,0.044959538319941164,1167196418.3005567,62.3113345679793,-0.38687174331704455,-2.1575503830814124,1.770678639764368,1.770678639764368,-0.4941993862161226,317.3529998779297,344.6173271186102,290.08867263724915,0.725514349024659,17.18233465646633,321.67437152978613,327.3233337402344,323.0549711243289,304.52897775303114,342.9615213832885,-1,83.45714383603529,67.15306051010958,97.17302636169126,87.32109969844839,320.4599914550781,319.35499572753906,258.45499420166016,290.7949981689453,,2025-07-20 17:07:35.159777,48.16663404449663,2.2648780259804906,2.3757763975155166,4.540369215413387,-12.001009362278426,no-trend,Above_Cloud,Bullish
3,NU,7.2982063,13.02,18.9,9.0,14.6235,15.0,1.784,13.98,12.99,13.96,buy,9.01,16.145,49.068654502716754,25.89508855690677,6.710920413639688,-4.545453592034498,0.4980423313690814,691719400.0,0.10705931752700872,750467609.875634,68.8621299029727,0.2548890209040984,0.28267111881670315,-0.027782097912604775,-0.027782097912604775,0.004525356196715978,13.307500076293945,14.221958950021149,12.39304120256674,0.3428034180703692,13.743511079984533,13.43240380432253,13.329999923706055,13.085576127097008,12.71424857603013,12.59709575832435,1,66.76072013870645,70.60541035615853,53.758663397526846,58.49919305642385,11.985000133514404,12.71999979019165,11.27750015258789,11.337500095367432,,2025-07-20 17:07:35.159777,56.20182200420463,-0.03230745410932075,-6.866952789699576,9.231635560838324,-4.815351746799223,lower,Above_Cloud,Bearish
4,F,0.9942093,11.16,16.0,8.0,10.37217,10.0,11.225,11.17,11.05,11.24,hold,8.44,14.18,50.34257998419296,23.938015549206693,-17.85670356681393,-1.6740134596631069,0.26815443213669565,370892500.0,0.16408185957175087,-113083049.6597001,52.87843716229471,0.22802006785680184,0.30084922462058794,-0.0728291567637861,-0.0728291567637861,0.013410628568652383,11.277500009536743,12.251725468369038,10.303274550704447,0.4396956007157374,17.277330224046963,11.302170175084235,11.149999936421713,11.402507353181004,10.257046994059564,11.089782815025675,1,41.495369270992136,56.24081480935754,0.30364357431403566,16.752215506234183,10.264999866485596,10.360000133514404,9.550642186411253,9.284524883358557,,2025-07-20 17:07:35.159777,47.38675958188154,-0.08623978533243848,-0.08952551477170445,9.782486275708235,-7.676751337773768,lower,Above_Cloud,Bearish
5,INTC,1.0101011,23.1,28.3,14.0,21.29,21.0,22.869,23.2,22.9,23.59,hold,17.67,33.41,56.66533400305239,31.77323690811432,69.08962782383922,1.0940918854545763,0.8157314209471358,-830150500.0,-0.026506629143772546,-840880735.7914755,55.94425719957372,0.5009519883093354,0.5470301372287502,-0.04607814891941475,-0.04607814891941475,0.044042514270432306,22.6460000038147,24.073114575078193,21.218885432551204,0.6590623439760267,12.603678981039463,22.988438151671005,23.196666717529297,21.8668477065878,21.93345463242274,21.134299211980128,1,53.30685247670183,54.15289091644535,15.367003439155388,17.75412486363481,20.875,21.094999313354492,20.539999961853027,22.039999961853027,,2025-07-20 17:07:35.159777,34.49809402795427,-0.09012066318984706,-0.4310344827586077,4.212617208130709,-8.143353105838946,upper,Above_Cloud,Bearish
6,HBAN,1.2854835,16.71,20.0,14.9,17.99474,19.0,12.999,17.0,16.36,17.03,buy,11.92,18.45,51.322807309534674,27.126299546457364,-25.883372497496605,-2.735746288441734,0.39027771541909895,281767700.0,0.11868237699121527,299366107.3736842,39.097318820936074,0.270061530933944,0.3803306799461306,-0.1102691490121866,-0.1102691490121866,-0.02559499877704473,16.895999908447266,17.941760902013776,15.850238914880753,0.41106915197694327,12.37879970683092,16.835942564339472,16.700000127156574,17.265307499916567,15.547891350728023,17.62570224630251,-1,30.08397426277195,32.09670998463501,13.420925792144397,8.684588034347877,15.678667294286424,15.445986976398665,13.861783698084762,14.195398785687676,,2025-07-20 17:07:35.159777,73.35375191424198,-0.08467415023514187,-1.7058823529411682,7.371399772673692,-5.145189019265395,lower,Above_Cloud,Bullish
7,BAC,1.2745441,47.32,57.0,43.0,50.54348,51.0,37.127,47.01,46.9,47.38,buy,33.07,49.31,58.00539224925897,21.780937002727477,11.746337770074428,-1.7237836028075537,0.9272295582625733,419674100.0,0.1639953385527096,170544363.41073105,46.2079338691665,0.5351826277912934,0.7631055101488579,-0.22792288235756442,-0.22792288235756442,-0.17562763852841234,47.14699993133545,48.90167493979722,45.392324922873684,0.5492968107069662,7.443421685440274,46.92100401485668,47.20000076293945,47.33449747888316,43.185943803928005,48.51780485716232,-1,41.39535021261748,28.563807783612475,18.601950302735712,10.097275462767469,44.25298835840127,42.861190824077624,38.470791052261724,39.63418937945084,,2025-07-20 17:07:35.159777,87.7463054187192,-0.05229524382915207,0.6594341629440503,3.3425083258605603,-4.0737005011122545,lower,Above_Cloud,Bullish
8,AAPL,47.233276,211.18,300.0,170.62,228.60326,230.0,4.471,210.755,209.7045,211.79,buy,169.21,260.1,59.43330398134623,15.936955262929265,55.7006932812276,1.6167766495747482,3.8795248547526846,600369800.0,0.04766786624063044,968329962.0490879,69.5032062697302,2.218296017895625,2.08024475212931,0.1380512657663151,0.1380512657663151,0.5495143687358244,207.45900039672853,216.50570820011725,198.4122925933398,0.7056544966368268,8.721441620839302,210.43678367258812,210.88999430338538,209.2008929580269,217.7232659999126,200.33234064520428,1,65.95956526091598,62.332253738867614,40.81922595315242,39.80272261952246,201.51000213623047,203.4684561759803,201.0763210254578,209.33050114778746,,2025-07-20 17:07:35.159777,46.17669710639233,-0.4114631029695093,0.20165595122298985,2.521880954691369,-6.0458885342647095,no-trend,Above_Cloud,Bearish
9,AMD,4.3831143,156.99,200.0,95.0,131.9459,130.0,35.817,159.61,156.4,160.83,buy,76.48,174.05,72.72341698502103,41.24908304498919,147.35133602242902,15.340536910720221,5.537175199580663,527864400.0,0.022391121824834027,-462567751.89289755,73.67345803650836,9.002144970206189,7.7686125936997685,1.2335323765064201,1.2335323765064201,0.7129855912935642,143.1260009765625,161.02967251371822,125.22232943940676,0.8871832793577957,25.0180559996049,156.24247839194524,157.87666829427084,144.58396879193904,128.46949863115375,143.00826406013067,1,92.01606873870753,92.66042367332186,89.11365853943188,89.40654179722753,116.35499954223633,110.4849967956543,92.34250068664551,96.5150032043457,,2025-07-20 17:07:35.159777,82.51511735164497,0.5205467852128559,-1.6415011590752537,2.5732037159807764,-20.2354739541329,upper,Above_Cloud,Bullish
