,symbol,priceToBook,CPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,bookValue,open,dayLow,dayHigh,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,RSI,ADX,CCI,ROC,ATR,OBV,CMF,AD,MFI,MACD,MACD_signal,MACD_Hist,MACDAS,MACDAS_Signal,BB_Middle,BB_Upper,BB_Lower,BB_%B,BB_BWidth,FWMA,VWAP,kama,EMA_200,Supertrend,st_way,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,time,YF%,MACDAS-dif,change,BB_Pot,BB_Opt,TrendWay,Cloud_Position,TK_Cross
0,A1CAP.IS,1.2166132,9.11,,,,,7.488,8.68,8.67,9.48,none,4.28,9.49,63.414484000511344,28.974404534045288,117.28558857836715,1.4476628181268647,0.4975451056422008,130457584.0,-0.24249122037706153,-821609227.9970579,62.7347474632673,0.2677381520908142,0.2983455796718572,-0.030607427581043012,-0.030607427581043012,-0.08449537975448337,8.629999923706055,9.237486625934354,8.022513221477757,0.895070156441715,14.07848685049397,8.778722032813947,9.086666425069174,8.06498484128124,6.110158535603164,7.625003724261443,1,58.79601249489739,46.66995785444513,60.67520469173258,47.04994744366558,7.555000066757202,6.930000066757202,4.859999895095825,5.005000114440918,,2025-07-24 02:09:18.759548,92.70633397312858,0.05388795217344036,4.953917050691237,1.399414115635067,-11.937286262593217,upper,Above_Cloud,Bullish
1,ACSEL.IS,2.3817153,111.5,,,,,46.815,113.5,111.2,114.1,none,93.0,150.6,63.30630597267386,25.95502114520824,109.97149260041161,8.886717127461477,4.557564047974974,3713130.0,-0.3920519946128471,-9141915.853019709,64.56496723300052,2.73853265758612,1.2407075226952013,1.4978251348909186,1.4978251348909186,1.233147484824375,103.93750038146973,114.94154002868373,92.93346073425573,0.8436237900344598,21.174339592210995,111.74918959735615,112.26666514078777,107.399801310135,110.5579033272877,103.33009190677366,1,58.03922765395219,64.48803072661354,90.2252460589898,96.25276127639644,102.07500076293945,107.0250015258789,117.73749542236328,113.24999618530273,,2025-07-24 02:09:18.759548,32.11805555555556,0.26467765006654353,-1.7621145374449365,3.0865829853665705,-16.6516047226406,upper,Below_Cloud,Bearish
2,ADESE.IS,1.2623522,13.03,,,,,10.322,13.2,13.03,13.55,none,1.73,13.61,75.403383901565,65.06951733627153,115.83415472719821,24.688994935852396,0.7986919687326924,2381758734.0,-0.12550955244326573,-834671486.1145892,83.28988710845995,1.542920279975009,1.4915136146296462,0.05140666534536287,0.05140666534536287,0.05552779169309173,10.936499977111817,13.893926467514683,7.97907348670895,0.8539394407017356,54.08360072403865,12.889644993246208,13.203333218892416,11.865128692954855,4.4187161706300415,10.802294127410477,1,92.239629630848,89.9839852333427,82.26686325777001,82.58273663830563,5.815000057220459,4.920000076293945,2.3474999368190765,2.2949999570846558,,2025-07-24 02:09:18.759548,95.1178451178451,-0.004121126347728862,-1.2878787878787823,6.630287548078928,-38.76382588864965,upper,Above_Cloud,Bullish
3,ADGYO.IS,1.6002257,34.04,,,,,21.272,35.38,34.04,35.5,none,26.02,37.88,52.102553116815045,29.64558315880037,-21.94869813244678,-2.0713390125793927,1.329977903016663,48268773.0,-0.28721293571541534,-60764304.94252389,66.59443220477138,0.8450849618086451,0.9860531754201692,-0.14096821361152412,-0.14096821361152412,-0.08323868484462711,34.52800025939941,35.61893710772515,33.43706341107367,0.27633932494763497,6.319142957193175,34.78914868662372,34.52666727701823,33.77429771558218,31.70436890011302,31.636833281596033,1,53.9393841311823,60.47137284277144,54.90856151803058,64.50765940768244,29.860000610351562,29.550000190734863,30.389999866485596,29.309999465942383,,2025-07-24 02:09:18.759548,67.62225969645867,-0.057729528766897006,-3.787450537026582,4.6384756396156135,-1.7712590744016654,lower,Above_Cloud,Bullish
4,AEFES.IS,1.0557636,15.79,35.6,16.0,25.7,25.5,14.956,15.59,15.44,15.89,strong_buy,13.25,28.425,58.67595084424975,17.86243412531218,66.58099211452668,-1.8034823583891493,0.5554056279435298,-591439161.0,0.08677035699114877,-2342310888.2064075,67.57255818577727,0.2841404972252217,0.27258282257547756,0.011557674649744165,0.011557674649744165,0.032542352051599416,15.249999904632569,16.462666365588127,14.03733344367701,0.7226498689486921,15.903822538217604,15.564807271860674,15.706666628519693,15.289202443493163,16.657694298163726,14.256770654087834,1,62.20931188897162,55.237480151704894,43.576952497454464,33.3638991052419,14.130000114440918,14.71198810375481,15.138090404493525,15.660408851528121,,2025-07-24 02:09:18.759548,16.738056013179563,-0.02098467740185525,1.2828736369467464,4.260078312781057,-11.099851528327987,no-trend,Above_Cloud,Bearish
5,AFYON.IS,0.950981,14.88,,,,,15.647,14.83,14.76,14.94,none,11.7,17.58,73.39298698400434,36.75112503043829,130.62097546510148,8.851499863890375,0.3863158656735609,343110398.0,0.08613665517311854,-365784775.7647495,74.7948490498946,0.5013707101503044,0.3548459745583397,0.14652473559196472,0.14652473559196472,0.14713286256909414,13.6489999294281,15.272994081810914,12.025005777045287,0.8790038847143095,23.796529574029528,14.700537573251474,14.859999974568685,14.455290764157294,13.660603261518963,13.6981851400467,1,91.31026824209299,94.07435026212924,99.39133770079809,99.5942251338654,12.595000267028809,12.980000019073486,13.801806634367024,13.73904319611152,,2025-07-24 02:09:18.759548,54.08163265306126,-0.0006081269771294195,0.3371544167228624,2.6410892594819435,-19.186789132760175,upper,Above_Cloud,Bearish
6,AGESA.IS,5.4256988,166.2,219.5,195.0,207.08,206.74,30.632,168.0,165.1,172.0,none,94.25,172.0,67.50831398634722,31.385543146582144,242.84172249091827,7.572813558732808,5.769655261118921,16053112.0,0.0814083947777531,9468592.604941728,79.29470061860273,3.807934306477705,2.6742666622444773,1.1336676442332276,1.1336676442332276,0.2435474895940985,154.69499816894532,164.84437707182852,144.54561926606212,1.0667833908550093,13.121793235743631,162.67697550558898,167.76666768391928,150.76308841781747,134.46225185683002,150.7154658926467,1,73.30980118174172,70.96872600657706,85.40787068425668,75.14189847587167,142.6999969482422,142.6999969482422,134.90000343322754,137.25074440178366,,2025-07-24 02:09:18.759548,92.54019292604501,0.8901201546391291,-1.0714285714285787,-0.8156575981777769,-13.029109948217732,upper,Above_Cloud,No_Data
7,AGHOL.IS,0.69940627,278.0,556.0,356.54,459.885,463.5,397.48,279.5,277.0,282.25,none,238.8,456.25,59.19713069429548,17.908960281392947,96.14358301945967,0.45167118337850043,9.144364653208696,-11019788.0,-0.042601483739214345,-18502789.866502203,66.8439513885746,4.196457012265,2.8147546067388562,1.381702405526144,1.381702405526144,1.4503795033692424,266.95500030517576,287.9892306605564,245.9207699497951,0.7625482251600159,15.758633725785165,276.00126774847865,279.0833333333333,266.490046677532,295.5525995281539,253.52199374187256,1,75.11494252873563,73.5563246351956,79.24762923956662,72.15700175885938,254.6500015258789,270.67918090306546,278.89798770272273,301.2098254809807,,2025-07-24 02:09:18.759548,18.027132674177967,-0.06867709784309839,-0.536672629695889,3.593248439049068,-11.53929138496579,no-trend,Below_Cloud,Bearish
8,AHGAZ.IS,2.3729107,27.4,,,,,11.547,27.34,27.16,28.2,none,12.49,29.84,53.444139567853085,19.11035944124432,31.08383010343779,-1.5804616797630173,0.8773943238480904,270595952.0,-0.45316358274904206,124779458.85317989,42.31843113363302,0.16381692101789014,0.24882374434293922,-0.08500682332504908,-0.08500682332504908,-0.16414515707220792,27.326999950408936,28.103791048377587,26.550208852440285,0.5469879664637217,5.685154604444802,27.35647059163989,27.586666742960613,27.434552946553552,21.6480019766678,25.84204576038563,1,39.48925214936989,43.7466513204732,52.89813657536865,63.467759173363106,26.3100004196167,24.859999656677246,21.78499984741211,21.15000057220459,,2025-07-24 02:09:18.759548,85.93659942363111,0.07913833374715884,0.2194586686174116,2.568580468531345,-3.1014275458383755,no-trend,Above_Cloud,Bullish
9,AKBNK.IS,1.4458476,67.55,106.4,56.0,82.46333,85.0,46.72,67.8,66.8,68.05,buy,46.12,76.2,58.37346781142105,23.635153193663392,9.446347124607065,-3.0846398717648684,2.1417947330900353,1478444901.0,0.010488009626494954,-1393918899.8329186,42.37085032940886,2.2443786210865966,2.7633406353714767,-0.5189620142848801,-0.5189620142848801,-0.2314153803354564,67.19999961853027,72.65820431324416,61.74179492381638,0.5320621388170467,16.244656921720573,67.6883881125924,67.46666971842448,67.67232079494848,59.263311799037155,63.55365644592958,1,47.73659683100637,51.30445002901963,17.800171754448815,19.46338857289074,55.80000114440918,54.70000076293945,51.227500915527344,61.20860410265949,,2025-07-24 02:09:18.759548,71.24335106382978,-0.2875466339494237,-0.36873156342183133,7.562108531819622,-8.5983790913155,lower,Above_Cloud,Bullish
