,symbol,priceToBook,CPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,bookValue,open,dayLow,dayHigh,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,RSI,ADX,CCI,ROC,ATR,OBV,CMF,AD,MFI,MACD,MACD_signal,MACD_Hist,MACDAS,MACDAS_Signal,BB_Middle,BB_Upper,BB_Lower,BB_%B,BB_BWidth,FWMA,VWAP,kama,EMA_200,Supertrend,st_way,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,time,YF%,MACDAS-dif,change,BB_Pot,BB_Opt,TrendWay,Cloud_Position,TK_Cross
0,MGROS.IS,1.4672134,518.5,982.0,657.0,774.2908,769.28,353.391,520.0,515.5,523.0,strong_buy,397.0,600.0,62.94271538026513,17.215875524446542,143.72615733580764,3.18407960199005,13.679796418199167,2765328.0,0.09513274855032561,-7925627.330918955,57.472238572218274,6.895830548692061,3.345974460811304,3.549856087880757,3.549856087880757,2.0957097493561223,493.3625,524.2135433372978,462.5114566627023,0.907401132680814,12.506440330303878,511.90796146044624,519.0,486.7107133224764,494.346097458541,478.5563535846664,1,88.87308922858159,78.07068257325398,96.37469623094741,82.14454597465966,481.5,499.7476724957888,480.3987704663861,516.6413346076157,,2025-07-24 02:03:36.133864,59.85221674876847,1.4541463385246347,-0.28846153846153744,1.1019369985145078,-10.798176149912763,no-trend,Above_Cloud,Bearish
1,KCHOL.IS,0.753457,170.6,325.2,228.15,278.71182,273.0,226.423,173.4,170.4,173.8,strong_buy,133.7,229.6,63.82936091159172,19.6484359472068,111.23876028220899,5.504025555499671,5.288846028357259,384799860.0,0.0710522453834556,-653683513.0561157,65.71461285079218,5.756123682569665,4.695790369971494,1.0603333125981713,1.0603333125981713,1.138592425375883,160.1400001525879,177.95408531985748,142.32591498531832,0.7935880751863207,22.248139315968025,170.24949531477796,171.6000010172526,161.76634837410515,162.83994493795888,156.30919104735523,1,87.61124549125408,91.4719412141002,89.79949387920716,87.77639441446115,146.25,147.6500015258789,145.0933643058505,156.4676015611417,,2025-07-24 02:03:36.133864,38.47758081334724,-0.07825911277771169,-1.6147635524798254,4.310718241417044,-16.57332064166569,no-trend,Above_Cloud,Bearish
2,THYAO.IS,21.35141,294.5,495.5,331.0,443.46332,450.28,13.793,298.75,293.75,299.5,strong_buy,249.2,339.5,57.79374891494985,13.624130049969786,90.86752296628885,0.5977796754910333,7.203710921368928,263877722.0,-0.05520835235796093,-718666806.6235871,64.55686869389213,4.425961767516981,3.4531587601472817,0.9728030073696989,0.9728030073696989,1.408759828342755,286.625,303.9963125583535,269.2536874416465,0.7266668098206854,12.121282203822771,293.73630831643004,295.9166666666667,285.93448604103986,288.4293399891064,275.8759806091932,1,84.5827614120297,81.79075909642164,82.65872021047933,71.48314194363049,272.27474817678683,280.4170862011462,299.8476488435413,306.81798757617287,,2025-07-24 02:03:36.133864,50.166112956810636,-0.435956820973056,-1.4225941422594146,3.2245543491862483,-8.572601887386588,no-trend,Below_Cloud,Bearish
3,KRDMD.IS,0.5622606,27.16,49.962086,34.52073,42.391376,42.20099,48.305,27.2,26.78,27.4,strong_buy,21.16,34.06,64.75729094202718,20.36719907777431,128.0335703530035,3.743313715861884,0.902474227536725,1202244390.0,0.14102281793765717,-892685233.9669234,56.415665222456376,0.8150156841202758,0.6306218176230441,0.18439386649723166,0.18439386649723166,0.16601643149311834,25.21299991607666,27.763898656180782,22.66210117597254,0.8816301879658259,20.23478958152521,26.687545561645386,27.11333338419597,25.21670961911703,25.711369153569336,24.371412899120248,1,92.61006576517359,88.42356303534753,70.91864494552574,57.72157780558921,22.630000114440918,23.27999973297119,25.320000171661377,28.6200008392334,,2025-07-24 02:03:36.133864,46.51162790697674,0.01837743500411332,-0.14705882352941124,2.223485479310683,-16.56074677476973,upper,No_Data,Bearish
4,CCOLA.IS,2.4728444,51.45,88.7,70.0,78.7775,78.0,20.806,50.65,50.35,51.55,strong_buy,42.94,899.5,56.383850156915884,10.906634563579143,54.351936813375794,-2.279203662225195,1.4736729741977088,22858913.0,-0.012756112215698834,-104725797.37698008,64.93383422194141,0.21909714588267803,0.0969537825931369,0.12214336328954113,0.12214336328954113,0.09333419036675521,50.18950004577637,52.98756034639381,47.39143974515893,0.7252454525166828,11.149982757610314,50.77629826373551,51.11666615804037,50.32008903499379,70.13367509331732,47.388728948282825,1,45.702682118633156,40.852484627903564,54.0897586282978,43.2556157927278,50.63999938964844,50.63999938964844,51.99769955012296,52.94266912719043,,2025-07-24 02:03:36.133864,0.9935089193985249,0.028809172922785925,1.5794669299111552,2.988455483758612,-7.8883581240837275,no-trend,Below_Cloud,No_Data
5,BRSAN.IS,1.4848471,334.0,,,,,224.939,339.0,334.0,341.5,none,297.5,601.5,52.70400525905057,10.759541204112052,78.6772054147364,-0.6691449814126395,10.686450660417043,19059550.0,0.047519178801205285,-57981455.18452333,59.69019802607964,1.9604763520151778,0.44288661396136464,1.5175897380538133,1.5175897380538133,2.077303712133861,329.3625,344.33119650302217,314.39380349697785,0.6549066079021538,9.0894965292176,335.4835192697769,336.5,328.0159362502504,385.35969931046196,308.97533243866684,1,72.42630385487529,77.32165889107539,82.82560129286385,84.99451876545966,325.5,339.5,392.8125,378.625,,2025-07-24 02:03:36.133864,12.006578947368421,-0.5597139740800476,-1.4749262536873142,3.09317260569526,-5.870118713479688,no-trend,Below_Cloud,Bearish
6,ZOREN.IS,0.26628396,3.34,5.4,4.55,4.975,4.975,12.543,3.35,3.31,3.38,none,2.8,6.09,68.67757510269043,25.587975747840996,148.57791124696732,6.369420464437858,0.08850411194537121,-746504588.0,0.09305282822350974,-3026399773.3926754,83.52245377832283,0.06958346343953359,0.0375723830658118,0.03201108037372179,0.03201108037372179,0.02921597060217227,3.1275000095367433,3.370141677473626,2.8848583415998608,0.9378883199233632,15.516653377905092,3.3023731727870915,3.3433333237965908,3.1734015269801272,3.7451758988923656,3.074303405273608,1,85.89740927151168,80.70940464901442,100.0,95.97417236762594,2.959999918937683,3.1449999809265137,3.352500021457672,3.640000104904175,,2025-07-24 02:03:36.133864,16.41337386018237,0.0027951097715495157,-0.29850746268657025,0.9024454333421028,-13.626995760483208,upper,Below_Cloud,Bearish
7,TTRAK.IS,4.336464,609.0,943.0,650.0,803.0,815.0,140.437,607.0,602.5,614.0,hold,550.0,867.0,57.79017122656436,14.287792488049647,95.5334987593054,0.9950248756218906,14.120640919748936,-522052.0,0.05444082881548105,-8547775.303315252,67.25199960584348,4.686516153437424,2.29784378573981,2.388672367697614,2.388672367697614,2.694334303601549,591.35,622.0633521452787,560.6366478547213,0.7873343149994321,10.387537717182274,604.3894523326572,608.5,590.5569751580759,639.1827732325155,567.548935108592,1,69.91869918699187,66.68049936023792,79.02698305165988,69.47365487640153,581.75,592.0,667.25,704.2673605446504,,2025-07-24 02:03:36.133864,18.61198738170347,-0.305661935903935,0.32948929159801743,2.1450496133462504,-7.941437133871698,no-trend,Below_Cloud,Bearish
8,AEFES.IS,1.0557636,15.79,35.6,16.0,25.7,25.5,14.956,15.59,15.44,15.89,strong_buy,13.25,28.425,58.67595084424975,17.86243412531218,66.58099211452668,-1.8034823583891493,0.5554056279435298,-591439161.0,0.08677035699114877,-2342310888.2064075,67.57255818577727,0.2841404972252217,0.27258282257547756,0.011557674649744165,0.011557674649744165,0.032542352051599416,15.249999904632569,16.462666365588127,14.03733344367701,0.7226498689486921,15.903822538217604,15.564807271860674,15.706666628519693,15.289202443493163,16.657694298163726,14.256770654087834,1,62.20931188897162,55.237480151704894,43.576952497454464,33.3638991052419,14.130000114440918,14.71198810375481,15.138090404493525,15.660408851528121,,2025-07-24 02:03:36.133864,16.738056013179563,-0.02098467740185525,1.2828736369467464,4.260078312781057,-11.099851528327987,no-trend,Above_Cloud,Bearish
9,FROTO.IS,2.6238124,93.35,224.0,106.5,141.42168,139.55,35.578,94.2,93.35,95.1,buy,78.85,112.7,55.36009555606434,23.31348633085313,42.167283548636085,-0.16042943944268048,2.855728302976104,49445970.0,0.019561032427121927,-398085226.53263146,49.446390138716076,1.5941708444025693,1.7258778911442896,-0.1317070467417203,-0.1317070467417203,0.35468225478050247,92.2325008392334,99.14851586423165,85.31648581423514,0.5807905731008717,14.996915321754694,93.43544541024292,93.93333180745442,93.01075287605249,91.83891602574842,87.92494955565131,1,35.659681478968366,45.618900356057104,19.419958718485912,18.84454204917011,84.0,89.625,94.2874984741211,97.8288798051848,,2025-07-24 02:03:36.133864,42.83604135893647,-0.48638930152222276,-0.9023354564755892,6.211586356970167,-8.605799877627064,lower,Below_Cloud,Bearish
