,Unnamed: 0,symbol,priceToBook,CPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,bookValue,open,dayLow,dayHigh,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,RSI,ADX,CCI,ROC,ATR,OBV,CMF,AD,MFI,MACD,MACD_signal,MACD_Hist,MACDAS,MACDAS_Signal,BB_Middle,BB_Upper,BB_Lower,BB_%B,BB_BWidth,FWMA,VWAP,kama,EMA_200,Supertrend,st_way,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,time,YF%,MACDAS-dif,change,BB_Pot,BB_Opt,TrendWay,Cloud_Position,TK_Cross
9,9,FROTO.IS,2.620731,104.9,159.5,106.5,135.306,139.55,40.027,106.6,104.7,108.4,buy,78.85,112.7,32.98090298702943,21.82073272269463,-109.5572513327873,-1.6885510770436454,0.4210574938107144,18792126.0,-0.1040146770262374,29125554.779756773,24.31143467794488,-0.093697079975584,0.0267737017365546,-0.1204707817121387,-0.1204707817121387,-0.0175547612362212,105.82500038146972,106.90920402625324,104.7407967366862,0.0273040564641468,2.049050112686532,105.33022405844912,106.2131216454788,105.86299274503786,105.13968394780773,106.491317795372,-1,15.240783834347107,20.25825842706296,8.060397818277549,10.383424195327954,105.8000030517578,105.8499984741211,105.82500076293944,106.75,,2025-08-09 20:53:40.237550,76.95716395864108,-0.1029160204759175,-1.5947467166979257,1.9153517886112856,-0.1517666952467133,lower,Below_Cloud,Bearish
6,6,ZOREN.IS,0.27585107,3.46,5.4,4.55,4.975,4.975,12.543,3.45,3.42,3.5,none,2.8,5.03,43.582598516587936,33.14599145451012,-153.84615384615452,-1.1428560529436385,0.0130783667310949,111882411.0,0.0748544989444423,366712533.4162789,35.700762043393986,-0.0012152792832775,0.0021468082947391,-0.0033620875780167,-0.0033620875780167,-0.0022803494950374,3.474500024318695,3.494969494287375,3.454030554350015,0.1458143226495693,1.178268517795945,3.4630426315942104,3.460789555290532,3.47160307340493,3.4461105798046003,3.451466759560651,1,6.666666666666818,10.555555555555806,0.0,0.0,3.470000028610229,3.465000033378601,3.440000057220459,3.440000057220459,,2025-08-09 20:53:40.237550,29.596412556053814,-0.0010817380829792,0.2898550724637516,1.0106790256466658,-0.1725273309244213,lower,Above_Cloud,Bullish
5,5,BRSAN.IS,1.6804556,378.0,,,,,224.939,379.5,375.75,382.5,none,297.5,601.5,45.66048589919041,15.90181438665623,-12.57861635221059,-0.1322751322751322,0.844174073188612,2025305.0,-0.217082476990438,304788.3713443551,62.38267877430068,-0.3741094531289377,-0.372041873097572,-0.0020675800313657,-0.0020675800313657,-0.0153409291829313,377.6125,378.7246488212058,376.50035117879423,0.4494222365501227,0.5890423760896571,377.3369675456389,378.6013646537367,378.35023968719486,377.82231028608805,379.52510608049926,-1,27.03703703703702,22.22222222222223,27.625939007330505,24.78241581381248,379.125,379.75,378.875,379.125,,2025-08-09 20:53:40.237550,26.480263157894733,0.0132733491515656,-0.3952569169960451,0.1917060373560319,-0.3967324923824789,no-trend,Below_Cloud,Bearish
3,3,KRDMD.IS,0.58586067,28.3,50.2467,34.71738,40.977894,39.798965,48.305,27.92,27.8,28.72,none,21.16,34.06,49.55018944074087,30.37779234575104,-17.97617373245095,-0.1411464901622134,0.0785592570929754,187211401.0,-0.0016922985943687,44948069.68784543,39.948414823353055,0.0066603667431017,0.0143430486289766,-0.0076826818858748,-0.0076826818858748,-0.0122878042024721,28.32599973678589,28.39986454704631,28.252134926525468,0.3239994143782856,0.521533650686973,28.31004016056022,28.2126687825744,28.31316586218985,28.163069752182384,28.16570895503097,1,44.44432670707411,39.50606818406586,49.525362145730526,42.75400592161164,28.40999984741211,28.32999992370605,27.979999542236328,27.96999931335449,,2025-08-09 20:53:40.237550,55.34883720930232,0.0046051223165973,1.3610315186246336,0.3528782581141643,-0.1691345352456963,lower,Above_Cloud,Bullish
1,1,KCHOL.IS,0.768061,180.3,325.2,240.0,280.50546,279.2,234.747,183.1,179.6,183.2,strong_buy,133.7,207.8,50.38287716905155,17.27109295353891,-19.44371152853628,-0.3316699087728508,0.3349109378638008,58280133.0,0.2054152714007511,39405134.89337234,58.65503091811934,-0.1052291237856479,-0.1016328086659468,-0.003596315119701,-0.003596315119701,-0.019349435369354,180.27999954223637,180.87194882637328,179.6880502580994,0.5168963034989036,0.6566998953184063,180.1528390261513,181.1042545298745,180.4853423707428,181.7028084926482,179.64385126632646,1,40.47593097184379,31.745564638207732,34.41906913104901,18.79320130702178,180.5,180.5500030517578,180.95000076293945,182.0999984741211,,2025-08-09 20:53:40.237550,62.887989203778695,0.0157531202496529,-1.5292190060076316,0.3172206469069794,-0.3394064014978437,no-trend,Below_Cloud,Bearish
8,8,AEFES.IS,1.1507087,17.21,35.6,16.0,25.7,25.5,14.956,16.79,16.72,17.38,none,13.25,26.525,51.464973173239386,23.907148558575155,17.289756784706288,0.0583443946204309,0.0426249533671423,152504283.0,-0.0610652384048576,122114387.2479714,59.45063259119552,0.0090584598864005,0.0097776145753894,-0.0007191546889888,-0.0007191546889888,0.0015727679379962,17.139499950408936,17.201297589748012,17.07770231106986,0.584952016239057,0.7211136791374334,17.151095069204334,17.08780125294049,,16.884324227483226,17.099180447453737,1,29.28518532308449,30.35937161683937,21.83008311190356,22.95720891606196,17.140000343322754,17.100000381469727,17.147499561309814,17.049999237060547,,2025-08-09 20:53:40.237550,29.83050847457628,-0.002291922626985,2.501488981536637,-0.0505660095990068,-0.7687256765260941,upper,Above_Cloud,Bullish
0,0,MGROS.IS,1.5393715,544.0,982.0,657.0,772.9908,769.28,353.391,534.0,530.5,544.0,strong_buy,397.0,600.0,67.28613615502678,34.083571377417435,98.45288326301184,0.3693444136657433,0.9808107375305504,3759354.0,0.7154806252529686,84241.14031918356,78.44735448113931,0.9544152667800744,0.9413911250500324,0.013024141730042,0.013024141730042,0.1025589725741978,541.9,544.4612496948599,539.33875030514,0.8123475237910198,0.9452849953349152,543.0618661257606,539.3526357742683,542.0447268653364,537.0625033544638,540.0408461263223,1,94.44444444444444,96.29629629629628,66.66666666666653,77.7777777777776,538.5,538.25,539.875,536.75,,2025-08-09 20:53:40.237550,72.41379310344827,-0.0895348308441557,1.8726591760299671,0.084788546849257,-0.8568473703786772,upper,Above_Cloud,Bullish
4,4,CCOLA.IS,2.4848602,51.7,87.0,70.0,77.88583,77.5,20.806,50.65,50.05,51.7,strong_buy,42.94,71.9,68.31320572487711,30.48966272312904,167.45427120786928,0.2915407365546381,0.131865579597307,5298456.0,0.1936847897120759,2150058.149867907,67.21292382850406,0.0388209694338925,0.0384394775462542,0.0003814918876382,0.0003814918876382,-0.0163692149060939,51.39249954223633,51.53489071892144,51.25010836555122,1.2286228568208182,0.5541321319391621,51.45096280947176,50.89270461212788,51.35232048525116,51.09691706993318,51.1424721505119,1,62.500039736657264,43.05546283668868,60.83678955189587,32.61887051543524,51.35000038146973,51.17500114440918,50.97499942779541,50.85000038146973,,2025-08-09 20:53:40.237550,30.2486187845304,0.0167507067937322,2.073050345508398,-0.3193603115639543,-0.8701965850073212,upper,Above_Cloud,Bullish
2,2,THYAO.IS,22.86286,314.25,586.0,331.0,450.67166,450.28,13.745,309.5,309.25,314.75,strong_buy,249.2,339.5,68.88018075316847,50.72944784107267,62.60901496373887,0.6410256410256411,0.7195418238900883,79240779.0,0.357764671956487,39923951.71541776,85.92687425803882,0.8539744567278262,0.7626511732123749,0.0913232835154513,0.0913232835154513,0.1886271987996294,312.4,315.6496153618092,309.1503846381908,0.7461829819620905,2.080419565818963,313.7961460446247,311.5850008918465,,309.6066046606503,311.5971180650321,1,80.0825593395253,75.81699346405235,46.98615371290248,49.644463229319705,310.5,310.375,311.375,310.25,,2025-08-09 20:53:40.237550,72.03765227021042,-0.097303915284178,1.5347334410339195,0.4453827722543213,-1.622789295722904,upper,Above_Cloud,Bullish
7,7,TTRAK.IS,4.191834,635.0,850.0,650.0,779.55,801.15,151.485,622.0,617.0,635.5,hold,550.0,867.0,82.97801199066099,48.60753301480322,231.9444444444451,1.927710843373494,2.190813884337559,392489.0,0.3931156129569232,633264.7902297701,96.12007511472063,2.973353829286566,1.670010980041004,1.303342849245562,1.303342849245562,0.7800847673556217,623.8,633.1134311614529,614.486568838547,1.074439205836722,2.986031151475784,631.7652129817444,625.3704601623746,630.574385131145,621.0791227558653,627.3400084085383,1,92.7361111111112,91.78703703703717,96.05743063257346,91.2330854413574,621.5,620.75,621.375,623.25,,2025-08-09 20:53:40.237550,26.81388012618297,0.5232580818899404,2.0900321543408262,-0.2970974548893057,-3.230461600228818,upper,Above_Cloud,Bullish
